,Rank,Film,Year,Director,Studio(s),Worldwide gross,Ref
0,1,Dangal,2016,Nitesh Tiwari,"Aamir Khan Productions
UTV Motion Pictures 
Walt Disney Studios India","₹2,024 crore (US$317 million)",[4]
1,2,Pathaan,2023,Siddharth Anand,Yash Raj Films,"₹1,050.3 crore (US$130 million)",[5] [6]
2,3,Bajrangi Bhaijaan,2015,Kabir Khan,Salman Khan Films  Kabir Khan Films  Eros International,₹969 crore (US$151.05 million),[a]
3,4,Secret Superstar,2017,Advait Chandan,Aamir Khan Productions,₹966.86 crore (US$154 million),[b]
4,5,PK,2014,Rajkumar Hirani,Vinod Chopra Films  Rajkumar Hirani Films,₹769.89 crore (US$126.15 million),[17]
5,6,Sultan,2016,Ali Abbas Zafar,Yash Raj Films,₹623.33 crore (US$93 million),[18]
6,7,Sanju,2018,Rajkumar Hirani,Rajkumar Hirani FilmsVinod Chopra Films,₹586.85 crore (US$85.81 million),[19]
7,8,Padmaavat,2018,Sanjay Leela Bhansali,Bhansali Productions Viacom 18 Motion Pictures,₹571.98 crore (US$84 million),[20]
8,9,Tiger Zinda Hai,2017,Ali Abbas Zafar,Yash Raj Films,₹565 crore (US$87.32 million),[4][21]
9,10,Dhoom 3,2013,Vijay Krishna Acharya,Yash Raj Films,₹556 crore (US$101 million),[c]
10,11,War,2019,Siddharth Anand,Yash Raj Films,₹475.5 crore (US$60 million),[28]
11,12,3 Idiots,2009,Rajkumar Hirani,Vinod Chopra Films,₹460 crore (US$58 million),[22][7]
12,13,Andhadhun,2018,Sriram Raghavan,Viacom 18 Motion Pictures Matchbox Pictures,₹456.89 crore (US$65 million),[29]
13,14,Adipurush,2023,Om Raut,T-SeriesRetrophiles,₹450 crore (US$56 million),[30]
14,15,Brahmāstra: Part One – Shiva,2022,Ayan Mukerji,Star Studios  Dharma Productions,₹431 crore (US$67 million),
